"Category","Rank","Page","Page ID","Fans","FPW"
"brands","1","삼성 (Samsung)","111668955554282","2667880","-2754"
"brands","2","하이마트(Hi-mart)","496657243716553","2189443","+10144"
"brands","3","G마켓","176568119021613","1535289","-318"
"brands","4","티몬 TMON","194806033875286","1336334","-269"
"brands","5","SK텔레콤","141962659170409","1236509","-1328"
"brands","6","롯데리아 (LOTTERIA)","431665770216673","1078479","+927"
"brands","7","Beauty No.1","102272326495825","1066721","-1119"
"brands","8","롯데 (LOTTE)","281196138649965","1003824","+3627"
"brands","9","McDonald's","10150097174480584","987911","+3592"
"brands","10","신한카드","113968985369946","915417","+5779"
"brands","11","CJ ONE","161344933920283","882571","-1278"
"brands","12","엔제리너스커피(Angelinus Coffee)","282560198486122","777591","-288"
"brands","13","KFC","7144906559","771199","-925"
"brands","14","KFC","207168969380470","770963","-872"
"brands","15","Starbucks Korea","122271421173562","753871","+624"
"brands","16","삼성전자 뉴스룸","314882591487","730454","-1220"
"brands","17","도미노피자(Dominostory)","113411472062884","712408","+1730"
"brands","18","Samsung Mobile Korea (삼성전자 모바일)","144295415698036","692843","-1422"
"brands","19","SK플래닛 스튜디오","198222053563803","676864","+2260"
"brands","20","ETUDE 에뛰드","210960618957553","666988","+1356"
"brands","21","11번가 (11STREET)","121866131216888","656743","+3975"
"brands","22","올레 (olleh)","102926723088020","645681","+2056"
"brands","23","한화데이즈(Hanwha)","204071546359884","611640","+7144"
"brands","24","크리스피 크림 도넛 (Krispykremekorea)","190935550953478","578567","+3442"
"brands","25","삼성화재","188245544527182","576725","+742"
"brands","26","LG Uplus","130609873649000","561801","-1291"
"brands","27","더페이스샵 (THEFACESHOP)","416098605075505","547714","+256"
"brands","28","스킨푸드","178230372316432","527913","-74"
"brands","29","넥슨 (NEXON KOREA)","131041580292444","519746","+214"
"brands","30","콬TV","227849523977652","515058","+50007"
"brands","31","삼성카드(Samsungcard)","152857838107621","511422","+1489"
"brands","32","왓챠 - Watcha","315033951845369","505430","-691"
"brands","33","위메프","167987083242450","500516","-974"
"brands","34","신세계백화점","214824885202505","483689","-32"
"brands","35","Natuur POP","261960300603503","482377","+872"
"brands","36","이마트","182368861838705","443496","+1557"
"brands","37","Uniqlo Korea, - 유니클로","176419105710759","437340","+285"
"brands","38","버거킹","269835863087249","431787","+347"
"brands","39","Innisfree (이니스프리)","289955041017153","422978","+825"
"brands","40","AprilSkin 에이프릴스킨","657120014400763","416163","+1623"
"brands","41","뉴발란스 라이프스타일 - New Balance Lifestyle Korea","112886518755127","403968","-165"
"brands","42","Samsung IT Korea (삼성전자 IT)","130282737031996","402281","+73"
"brands","43","홈플러스(Homeplus)","154934744601693","401644","-309"
"brands","44","Asiana Airlines","143887898965409","393420","-335"
"brands","45","Jeju air","237249132994502","379057","+3256"
"brands","46","올리브영","215712131799664","376927","-205"
"brands","47","옥션 (Auction)","177506035621661","375066","+8834"
"brands","48","Audi Korea - 아우디코리아","100312556835964","371743","-517"
"brands","49","뭐 입고 나가지?","692730187404788","370135","-762"
"brands","50","신한은행","181888958532168","369204","+1158"
"brands","51","LG","319438251423068","367236","+351"
"brands","52","삼성 모바일 스토어(Samsung MobileStore)","184256088308875","360596","+88"
"brands","53","Baskin-Robbins","527725837256414","355475","+1197"
"brands","54","Baskin-Robbins","192454277471681","355359","+1241"
"brands","55","Pizza Hut","321935321302049","354959","-479"
"brands","56","비욘드 (BEYOND)","200914920018960","354831","-664"
"brands","57","Pizza Hut","194442110580282","354612","-476"
"brands","58","Mercedes-Benz Korea","301304903282392","354037","-465"
